Gene	Bc	Ac	Cc	Ai	Bi	Ci
TPRE000475	7762	9925	13491	9421	9218	14895
TPRE000476	603	728	947	720	781	1064
TPRE000477	20	38	29	28	30	59
TPRE000478	160	160	211	126	224	208
TPRE000479	3579	3773	3951	3205	3509	4370
TPRE000480	3080	3489	3785	2715	3090	3695
TPRE000481	684	963	883	812	963	1030
TPRE000482	1300	1727	1969	1507	1693	2013
TPRE000483	4836	3366	3314	2554	2732	4157
TPRE000484	4094	3656	4797	3628	3744	5379
TPRE000485	1027	1131	1348	925	1241	1448
TPRE000486	1292	1790	2604	1821	1819	2849
TPRE000487	500	613	934	749	742	1000
TPRE000488	2	1	1	3	3	5
TPRE000489	6	8	11	17	13	10
TPRE000490	4462	7322	9488	6368	7110	8024
TPRE000491	5604	9191	12919	8082	9104	10680
TPRE000492	8744	9579	11011	8797	9560	12699
TPRE000493	372	170	169	142	170	244
TPRE000494	0	0	0	0	0	0
TPRE000495	2	1	0	2	0	0
TPRE000496	1359	1950	2600	1604	2070	2372
TPRE000497	834	779	1579	878	970	1504
TPRE000498	385	272	455	312	365	504
TPRE000499	44471	36082	46235	34081	35069	57994
TPRE000500	206	187	151	155	179	251
TPRE000501	4963	5239	5245	4315	5135	6259
TPRE000502	1835	2271	2590	1996	2338	2756
TPRE000503	3219	2890	4284	2916	3021	5269
TPRE000504	12	19	21	20	10	23
TPRE000505	3655	5806	8447	5701	6446	7856
TPRE000506	125	61	91	111	184	193
TPRE000507	177	116	211	173	136	187
TPRE000508	1972	1373	2222	1527	1350	2326
TPRE000509	675	778	778	510	599	757
TPRE000510	1859	2127	2922	1953	2121	2726
TPRE000511	23	13	23	24	17	44
TPRE000512	7032	10236	11418	6774	7751	8250
TPRE000513	6783	7264	11375	7781	7941	10817
TPRE000514	2470	2875	3632	2795	3096	3482
TPRE000515	875	1033	1337	892	1060	1331
TPRE000516	2337	3339	3775	2754	3131	3527
TPRE000517	362	289	396	537	620	673
TPRE000518	354	62	271	178	430	361
TPRE000519	0	0	0	4	3	10
TPRE000520	65	153	142	96	111	147
TPRE000521	1	4	5	0	0	5
TPRE000522	490	603	977	725	741	986
TPRE000523	61	94	84	77	139	170
TPRE000524	760	890	890	742	880	1008
TPRE000525	1403	2000	2719	1727	2292	2370
TPRE000526	38	27	35	25	30	32
TPRE000527	9	6	7	5	5	16
TPRE000528	150	277	432	176	270	285
TPRE000529	243	421	763	457	486	440
TPRE000530	973	1308	1272	949	1053	1340
TPRE000531	3276	4234	6598	4707	5064	6336
TPRE000532	2766	4070	5472	3640	4301	5480
TPRE000533	6564	8222	9938	7196	7355	9942
TPRE000534	0	2	0	0	1	0
TPRE000535	29	25	46	42	29	40
TPRE000536	37	56	109	71	43	102
TPRE000537	256	139	323	239	314	389
TPRE000538	0	0	1	0	3	0
TPRE000539	1376	1336	2219	1608	1547	2236
TPRE000540	24	40	32	33	30	55
TPRE000541	1505	1657	1848	1494	1584	2281
TPRE000542	2329	1892	2349	2092	2010	2659
TPRE000543	19	30	45	59	56	44
TPRE000544	1218	1587	1922	1381	1559	1628
TPRE000545	17986	24605	29456	21805	23369	29594
TPRE000546	2803	1679	2456	2437	1947	3836
TPRE000547	812	964	823	597	681	919
TPRE000548	795	1246	1658	1172	1228	1565
TPRE000549	1539	805	962	848	836	1095
TPRE000550	351	464	485	313	383	426
TPRE000551	556	914	1057	705	829	988
TPRE000552	40	38	46	39	45	51
TPRE000553	3	0	4	3	10	4
TPRE000554	29	30	58	33	49	32
TPRE000555	134	0	0	31	3	16
TPRE000556	0	0	0	0	0	0
TPRE000557	0	0	0	0	0	0
TPRE000558	450	228	347	274	386	412
TPRE000559	0	0	0	0	0	0
TPRE000560	0	0	0	0	0	0
TPRE000561	2	0	1	0	0	0
TPRE000562	0	0	0	0	0	0
TPRE000563	0	0	0	0	0	1
TPRE000564	0	0	0	0	0	3
TPRE000565	0	0	0	0	0	0
TPRE000566	0	0	0	0	0	0
TPRE000567	0	0	0	0	0	0
TPRE000568	0	0	0	0	0	0
TPRE000569	0	0	0	0	0	0
TPRE000570	0	0	0	0	0	0
TPRE000571	0	0	0	0	0	0
TPRE000572	0	0	0	0	0	0
TPRE000573	0	0	0	0	0	0
TPRE000574	19	14	14	15	18	25
TPRE000575	0	0	0	0	0	0
TPRE000576	1660	1921	2165	1620	1784	2095
TPRE000577	2080	2475	3055	2285	2535	2982
TPRE000578	2144	3185	3768	2757	3209	3347
TPRE000579	3211	4206	4601	3398	3743	4699
TPRE000580	617	659	739	568	674	781
TPRE000581	190	161	316	252	351	385
TPRE000582	0	0	0	0	0	0
TPRE000583	1350	991	1535	1229	1462	1474
TPRE000584	268	341	456	213	318	397
TPRE000585	11	8	33	13	25	8
TPRE000586	143	175	248	206	225	220
TPRE000587	16	10	26	21	13	31
TPRE000588	9	27	21	15	4	25
TPRE000589	59	84	113	103	82	119
TPRE000590	0	0	0	0	0	0
TPRE000591	5701	6504	8183	6967	6515	8963
TPRE000592	1918	3022	3261	2358	2535	3033
TPRE000593	2627	3034	2956	1832	2255	2894
TPRE000594	1412	2063	2293	1784	1890	2397
TPRE000595	761	779	1083	958	1083	1404
TPRE000596	1960	1994	2391	1641	2054	2085
TPRE000597	678	1016	1348	1018	984	1265
TPRE000598	2972	3526	4967	3204	3561	4311
TPRE000599	423	421	602	376	498	574
TPRE000600	340	310	336	307	400	491
TPRE000601	3715	4646	5254	3927	4654	5051
TPRE000602	715	721	942	669	785	1043
TPRE000603	1980	1041	1329	1164	1209	1585
TPRE000604	8218	10699	17514	9041	12416	14111
TPRE000605	1514	1908	2527	1714	2136	2382
TPRE000606	1363	2223	2826	1624	2028	2219
TPRE000607	249	428	596	267	385	370
TPRE000608	579	1025	1237	753	863	897
TPRE000609	187	78	95	54	75	86
TPRE000610	63	63	75	26	72	93
TPRE000611	0	2	0	0	0	3
TPRE000612	1802	1532	2775	1766	1882	2882
TPRE000613	467	524	662	429	525	707
TPRE000614	752	793	984	841	981	1148
TPRE000615	980	1246	1830	1341	1537	1896
TPRE000616	1355	1792	1877	1519	1745	1897
TPRE000617	31	13	13	19	19	45
TPRE000618	1699	881	1515	301	264	711
TPRE000619	359	212	352	352	346	497
TPRE000620	3205	3696	4751	3475	3666	4872
TPRE000621	2054	2526	3184	2460	2491	3072
TPRE000622	1551	2235	2290	1722	2038	2237
TPRE000623	5660	5732	6774	5899	5725	7876
TPRE000624	2101	2472	2331	1779	2032	2267
TPRE000625	597	549	1076	666	709	1039
TPRE000626	881	780	901	681	752	914
TPRE000627	7218	11907	18551	11647	13726	15133
TPRE000628	485	593	509	434	491	575
TPRE000629	0	0	0	0	0	4
TPRE000630	2475	3337	3901	2882	3028	3504
TPRE000631	1634	2095	2714	1745	2025	2490
TPRE000632	9777	11390	11697	8395	9263	11199
TPRE000633	1660	2107	2685	1743	1999	2158
TPRE000634	2153	3041	3502	2238	2789	3156
TPRE000635	1111	1377	1955	1337	1452	1816
TPRE000636	1152	1542	1717	1237	1357	1609
TPRE000637	215	312	331	248	345	339
TPRE000638	7497	12225	16059	10633	12470	14311
TPRE000639	403	481	423	394	440	517
TPRE000640	1065	1260	1439	1152	1072	1438
TPRE000641	1295	1130	1293	1118	1247	1476
TPRE000642	5532	7165	9005	6089	7061	8203
TPRE000643	105	162	127	123	144	158
TPRE000644	4094	5570	8154	5587	6313	7455
TPRE000645	370	469	568	404	456	634
TPRE000646	2412	2794	3638	2861	2886	3809
TPRE000647	739	648	941	625	730	811
TPRE000648	33	17	29	18	12	13
TPRE000649	9	19	22	10	9	19
TPRE000650	81	91	88	88	68	125
TPRE000651	6	9	9	14	9	24
TPRE000652	776	857	1199	812	896	1092
TPRE000653	625	759	729	477	563	685
